                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.105,                0.97337,                 1.1186,                0.84248,                0.89514,                0.91812,                0.66618,                0.97572,                 0.5822,                 1.0618,             0.00022311,             0.00022311,             0.00022311
                     52,                 1.1071,                0.97558,                 1.1181,                0.86218,                0.88659,                0.91447,                0.66757,                0.97443,                0.58476,                 1.0562,             0.00022091,             0.00022091,             0.00022091
                     53,                 1.1057,                0.96415,                 1.1184,                 0.8274,                 0.8956,                0.91418,                  0.672,                0.96137,                0.57505,                 1.0528,             0.00021871,             0.00021871,             0.00021871
                     54,                 1.1038,                0.97252,                 1.1187,                0.86063,                0.89185,                0.92176,                0.67212,                0.97213,                0.57468,                 1.0548,             0.00021652,             0.00021652,             0.00021652
                     55,                 1.0919,                0.95965,                 1.1159,                0.84748,                 0.8923,                 0.9131,                 0.6648,                0.96896,                0.57946,                  1.056,             0.00021432,             0.00021432,             0.00021432
                     56,                 1.0986,                0.95381,                  1.112,                 0.8379,                0.89376,                 0.9184,                0.67447,                0.96576,                0.56866,                 1.0518,             0.00021212,             0.00021212,             0.00021212
                     57,                 1.0902,                0.94683,                 1.1063,                0.85248,                 0.8761,                0.91695,                0.67342,                0.95702,                0.57777,                 1.0468,             0.00020992,             0.00020992,             0.00020992
                     58,                 1.0898,                0.94147,                 1.1079,                0.85355,                0.88655,                0.92163,                0.68472,                0.94896,                0.56139,                 1.0461,             0.00020773,             0.00020773,             0.00020773
                     59,                 1.0817,                0.94107,                 1.1046,                0.85173,                0.88247,                0.92092,                0.68043,                0.93978,                0.55765,                 1.0395,             0.00020553,             0.00020553,             0.00020553
                     60,                 1.0833,                0.92603,                 1.1054,                0.83803,                0.90332,                0.92155,                0.67474,                0.95776,                0.56144,                 1.0471,             0.00020333,             0.00020333,             0.00020333
                     61,                 1.0804,                0.93124,                 1.1006,                0.85784,                0.89314,                0.92437,                0.67862,                0.95754,                0.55817,                 1.0458,             0.00020113,             0.00020113,             0.00020113
                     62,                  1.081,                0.93556,                 1.0999,                0.85106,                0.89142,                0.92271,                0.67916,                0.95092,                0.55152,                 1.0418,             0.00019893,             0.00019893,             0.00019893
                     63,                 1.0744,                0.91978,                 1.0962,                0.85261,                0.89948,                0.92694,                0.68838,                0.93583,                 0.5462,                 1.0378,             0.00019674,             0.00019674,             0.00019674
